Authors,Author(s) ID,Title,Link,Author Keywords,Index Keywords
"Savin S., Balakhnov O., Maloletov A.","55978984900;57211524628;35364441900;","Linearization-based forward kinematic algorithm for tensegrity structures with compressible struts","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091136666&doi=10.1007%2f978-981-15-5580-0_24&partnerID=40&md5=8465fd63043d52c29ae3753164a3e827","Convex programming; Forward kinematics; Local linearization; Numeric optimization; Soft robotics; Tensegrity","Convex optimization; Inverse kinematics; Linearization; Quadratic programming; Robot programming; Robotics; Elastic force; Forward kinematics; Kinematic algorithms; Local linearization method; Programming software; Quadratic programs; Tensegrity structure; Trajectory Planning; Inverse problems"
"Yakovlev K., Bekkouch I.E.I., Khan A.M., Khattak A.M.","57218715680;57209140202;16679109100;26031517700;","Abstraction-Based Outlier Detection for Image Data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090169509&doi=10.1007%2f978-3-030-55180-3_40&partnerID=40&md5=1c57a3eb4d14689dc469122047167c52","Convolutions; Outlier detection; Variational autoencoder","Data handling; Deep learning; Errors; Intelligent systems; Learning algorithms; Learning systems; Statistics; Adversarial networks; Benchmark datasets; Different mechanisms; Error distributions; Learning abilities; Misclassifications; Reconstruction error; Representation techniques; Anomaly detection"
"Mazzara M., Dragoni N., Bucchiarone A., Giaretta A., Larsen S.T., Dustdar S.","8557895400;8308455900;13105059800;57200137930;57200579924;6701473617;","Microservices: Migration of a Mission Critical System","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059027049&doi=10.1109%2fTSC.2018.2889087&partnerID=40&md5=5c8e72ef29ee1e2faf74cecae680ec14","microservices; scalability; Service computing; software architecture","Agile manufacturing systems; Automation; Batch data processing; Computer architecture; Data handling; Finance; Information services; Legacy systems; Scalability; Software architecture; Tools; Agile architectures; Financial institution; Heterogeneous data sources; Microservices; Mission critical systems; Monolithic architecture; Service computing; Technological standards; Service oriented architecture (SOA)"
"Rangulov D., Fahim M.","57219789697;36606049200;","Emotion Recognition on large video dataset based on Convolutional Feature Extractor and Recurrent Neural Network","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100755261&doi=10.1109%2fIPAS50080.2020.9334935&partnerID=40&md5=2266ab84b1f43dda4ab9b773fc0af0a7","Aff-Wild2; affective behavior analysis; arousal; CNN; deep neural network; emotion; RNN; valence","Classification (of information); Convolution; Convolutional neural networks; Human computer interaction; Large dataset; Learning systems; Speech recognition; Video recording; Confusion matrices; Emotion recognition; Facial emotions; Feature extractor; Feature vectors; Learning models; Recurrent neural network (RNN); Temporal dynamics; Recurrent neural networks"
"Savin S.","55978984900;","Accuracy Analysis of a Ground Reaction Predictor-based Feedforward Control","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103305286&doi=10.1109%2fNIR50484.2020.9290230&partnerID=40&md5=1282f48610efae82d7216499b7f38945","control error distribution; feedforward control; in-pipe robots; mechanical constraints; reaction predictor; walking robots","Agricultural robots; Infrared devices; Robotics; Robots; Accuracy analysis; Bipedal walking robot; Contact interaction; Contact modeling; Four-legged robot; Ground reactions; Prediction errors; Stopping criteria; Feedforward control"
"Lebedeva E., Brown J.A.","57222579692;55724408300;","Companion AI for Starbound Game Using Utility Theory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103302872&doi=10.1109%2fNIR50484.2020.9290164&partnerID=40&md5=164c40827d1922b0dd7406ac231ff2f7","AI; Non-player Character; Utility theory; Video games","Agricultural robots; Damage detection; Infrared devices; Robotics; User study; Utility theory; Video game; Human computer interaction"
"Andreev A., Frolov N., Alexandrova N., Chaban M.","57197756291;16498801300;57204939326;57216647540;","Chimera-like state in ensemble of bistable neurons","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103302746&doi=10.1109%2fNIR50484.2020.9290204&partnerID=40&md5=a4711bcc2685569942460d1bf1599a9d","chimera-like state; Complex network; Hodgkin-Huxley neuron; neural network","Agricultural robots; Infrared devices; Neurons; Robotics; Bistable neurons; Coupling strengths; External currents; Fixed points; Limit-cycle; One parts; Oscillatory regimes; Resting state; Neural networks"
"Pitsik E., Frolov N., Badarin A., Grubov V.","57192586726;16498801300;56359138000;54787609400;","Network analysis of electrical activity in brain motor cortex during motor execution and motor imagery of elderly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103289786&doi=10.1109%2fNIR50484.2020.9290219&partnerID=40&md5=532367b881577f9bbcc0dd5b8e135085","age-related effects; connectivity analysis; electroencephalography; motor execution; motor imagery; neurorehabilitation","Agricultural robots; Brain; Infrared devices; Robotics; Connectivity analysis; Connectivity pattern; Electrical activities; Event related desynchronization; Functional connectivity; Linear correlation analysis; Motor imagery; Motor imagery tasks; Image analysis"
"Grubov V., Badarin A., Frolov N., Pitsik E.","54787609400;56359138000;16498801300;57192586726;","Features of real and imaginary human motor activity with EEG and fNIRS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103288796&doi=10.1109%2fNIR50484.2020.9290202&partnerID=40&md5=395f0ba55e40adb63600e73d7425a81f","electroencephalogram; functional near-infrared spectroscopy; motor imagery; real motor activity; time-frequency analysis","Agricultural robots; Design of experiments; Infrared devices; Robotics; Human motor; Motor activity; Motor imagery; Real and imaginary; Time frequency domain; Frequency domain analysis"
"Grubov V., Maksimenko V., Kurkin S., Khramova M., Aleksandrova N., Hramov A.","54787609400;56572360300;35334432000;56572729200;57204939326;6603156741;","Attention state of children during Schulte tables task","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103282890&doi=10.1109%2fNIR50484.2020.9290231&partnerID=40&md5=c5886ee1065f20e83760b81ccd0ac737","attention; cognitive load; continuous wavelet analysis; electroencephalogram; frequency ranges; oscillatory patterns","Agricultural robots; Infrared devices; Robotics; Attention level; Behavioral characteristics; Cognitive loads; Cognitive task; Energy distributions; Spatial structure; Specific distribution; Wavelet energy; Design of experiments"
"Ostankovich V., Yagfarov R., Rassabin M., Gafurov S.","57208863826;57204765694;57209073038;56088205500;","Application of CycleGAN-based Augmentation for Autonomous Driving at Night","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103282347&doi=10.1109%2fNIR50484.2020.9290218&partnerID=40&md5=61648bb32bb2f6da9c0cf991dabffec7","augmentation; autonomous driving; computer vision; deep learning; neural networks","Agricultural robots; Cameras; Deep learning; Infrared devices; Object detection; Object recognition; Robotics; Augmentation methods; Autonomous driving; Autonomous navigation; Learning techniques; Road segmentation; Training data sets; Uncertain environments; Visual artifacts; Autonomous vehicles"
"Karavaev Y., Kilin A., Klekovkin A., Pivovarova E.","55929738700;6602549842;55929695900;56105346800;","Stabilization of a spherical robot rolling on an oscillating underlying surface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103281352&doi=10.1109%2fNIR50484.2020.9290225&partnerID=40&md5=187c05dc51a883453e6fe2aace280621","feedback; nonholonomic model; oscillations of the underlying surface; spherical robot","Agricultural robots; Equations of motion; Infrared devices; Machine design; Robot applications; Robotics; Spheres; Stabilization; Spherical robots; Underlying surface; Vertical direction; Robots"
"Kulathunga G., Devitt D., Fedorenko R., Savin S., Klimchik A.","57219908721;57219857818;55692229600;55978984900;37016245900;","Path Planning Followed by Kinodynamic Smoothing for Multirotor Aerial Vehicles (MAVs)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103279228&doi=10.1109%2fNIR50484.2020.9290162&partnerID=40&md5=ccbae018df70477e28745115fadb4dd9","B-spline; Ellipsoidal search space; iLQR; OctoMap; RRT","Agricultural robots; Antennas; Infrared devices; Robotics; Vehicles; Adaptive search; Aerial vehicle; B splines; Free path; Optimal paths; Simulated environment; Steering functions; Vehicle dynamics; Intelligent vehicle highway systems"
"Savin S., Balakhnov O., Klimchik A.","55978984900;57211524628;37016245900;","Workspace Analysis of Tensegrity Structures with an Iterative Energy-based Algorithm","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103271983&doi=10.1109%2fNIR50484.2020.9290196&partnerID=40&md5=a40f1eccd3beb7376005dabce2b07b03","computational efficiency; nonlinear optimization; tensegrity; workspace","Agricultural robots; Elasticity; Infrared devices; Inverse kinematics; Inverse problems; Robot programming; Robotics; Space research; Actuation patterns; Energy-based algorithms; Forward and inverse kinematics; Operational space; Space explorations; Tensegrity structure; Trajectory Planning; Workspace analysis; Iterative methods"
"Gainutdinov A.","57200340905;","Method for measuring differences in the neuronal responses to social stimuli","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103269306&doi=10.1109%2fNIR50484.2020.9290233&partnerID=40&md5=a62be0232e44b788f7c68db0e651d835","data analysis; face-selective neurons; neuroscience; social stimulus; spike train order","Agricultural robots; Infrared devices; Robotics; Neuronal response; Social interactions; Neurons"
"Kuc A., Malova N.","57205658369;57216647120;","Spatio-temporal EEG activity in cortical network during visual percetion task","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103268435&doi=10.1109%2fNIR50484.2020.9290161&partnerID=40&md5=ed31c57d502ed2de94d3769caede08fb","alpha-band activity; brain-computer interface; time-frequency analysis; visual classification task","Agricultural robots; Brain computer interface; Electroencephalography; Infrared devices; Robotics; Brain rhythms; Cognitive activities; Cognitive task; Cortical activity; Cortical network; EEG activity; Spatio temporal; Visual-processing; Brain"
"Kirsanov D., Sevostianov I., Rodionov O., Ostanin M.","57194146935;57222574768;57192309481;57203783042;","Stiffness analisys of the Tripteron parallel manipulator","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103266742&doi=10.1109%2fNIR50484.2020.9290208&partnerID=40&md5=72a8208ba890ab93d8a1e786a720deff","Manipulator stiffness modeling; Matrix structural analysis; Parallel robot; Virtual joint modeling","Agricultural robots; Infrared devices; Manipulators; Robotics; Robots; Stiffness; Cartesian stiffness; Computational costs; Elastostatic model; External loads; Parallel manipulators; Parallel robots; Semi-analytical; Stiffness model; Stiffness matrix"
"Maksimychev E., Gafurov S., Shapovalov I.","57222575312;56088205500;57214700265;","Autonomous Navigation in Rural Environment based on Digital Filters and LIDAR Data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103264123&doi=10.1109%2fNIR50484.2020.9290215&partnerID=40&md5=1b942d5b334b89b48d0de48d28ed5083","Autonomous Driving; Digital filters; LIDAR; RANSAC; Road detection; Rural environment","Agricultural robots; Air navigation; Digital filters; Infrared devices; Roads and streets; Robotics; Rural areas; Autonomous driving; Autonomous navigation; Essential problems; Generated trajectories; Rural environment; Sensor perceptions; State-of-the-art approach; Urban environments; Autonomous vehicles"
"Maksimenko V., Grubov V.","56572360300;54787609400;","Cognitive interaction via a brain-to-brain interface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103263078&doi=10.1109%2fNIR50484.2020.9290200&partnerID=40&md5=6c482d88bf60ce00f1f281ba15589e39","brain-to-brain interface; cognitive load; cognitive performance; cognitive resource; electroencephalogram","Agricultural robots; Infrared devices; Brain interfaces; Cognitive interaction; Cognitive loads; Cognitive performance; Cognitive task; Current performance; Robotics"
"Pitsik E., Frolov N., Kiselev A., Shchukovskii N., Badarin A., Grubov V.","57192586726;16498801300;16678923200;57222571158;56359138000;54787609400;","Motor-related elderly brain activity revealed via recurrence quantification analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103261739&doi=10.1109%2fNIR50484.2020.9290221&partnerID=40&md5=75b4e1aed8a38d096a59ecdc38bd7299","age-related effects; brain-computer interface; electroencephalography; eventrelated desynchronization; neurorehabilitation; recurrence quantification analysis","Agricultural robots; Bioelectric phenomena; Electroencephalography; Infrared devices; Multivariable control systems; Neurophysiology; Robotics; Wavelet transforms; Age-related changes; Brain activity; Brain process; Continuous Wavelet Transform; Group analysis; Neuronal activities; Non-stationarities; Recurrence quantification analysis; Brain"
"Sirazitdinov I., Succi G., Ivanov V.","57202919950;7004757466;57195101229;","A Systematic Literature Review of Studies Related to Mental Activities of Software Developers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103259893&doi=10.1109%2fNIR50484.2020.9290239&partnerID=40&md5=3697e1bd53fdb02b9572a278eab3d638","mental activity; software developers; systematic literature review","Agricultural robots; Behavioral research; Infrared devices; Robotics; Emerging trends; Emotional state; Mental activity; Mental state; Software developer; Systematic literature review; Systematic Review; Software design"
"Khorev V., Grubov V., Badarin A., Maksimenko V.","55241932000;54787609400;56359138000;56572360300;","EEG features during maintaining a human body balance.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103256980&doi=10.1109%2fNIR50484.2020.9290209&partnerID=40&md5=9824352463a09d78bc40d5872a40e5ee","activity; balance; EEG; EMG; posture","Agricultural robots; Infrared devices; Common features; Cortical activity; Cortical monitoring; Equilibrium state; Frontal areas; Neuronal activities; Postural control; Unstable conditions; Robotics"
"Kivotova E., Maksudov B., Kuleev R., Ibragimov B.","57222575608;57219621465;22134759700;40761505000;","Extracting clinical information from chest X-ray reports: A case study for Russian language","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103256197&doi=10.1109%2fNIR50484.2020.9290235&partnerID=40&md5=5f7e5169b2e7b31f4c03d97beab5e3ce","feature extraction; medical reports; natural language processing; radiology; Russian text; text classification","Agricultural robots; Data visualization; Dimensionality reduction; Embeddings; Extraction; Infrared devices; Medical problems; Natural language processing systems; Robotics; Text processing; 2D fields; Chest x-rays; Clinical information; Extraction method; NLP systems; Possible futures; Russian languages; Diagnosis"
"Respall V.M., Devitt D., Fedorenko R.","57205060820;57219857818;55692229600;","Unmanned Aerial Vehicle Path Planning for Exploration Mapping","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103254673&doi=10.1109%2fNIR50484.2020.9290232&partnerID=40&md5=dd368804b6dac577bea828059e325ef1",,"Agricultural robots; Infrared devices; Robotics; Unmanned aerial vehicles (UAV); Depth sensors; Field of views; Flight time; Narrow tunnels; Next best view; Path planners; Rapidly-exploring random trees; Antennas"
"Grubov V., Badarin A., Maksimenko V.","54787609400;56359138000;56572360300;","Analysis of information perception and processing during long-term and intense cognitive load using combined EEG and NIRS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103253194&doi=10.1109%2fNIR50484.2020.9290234&partnerID=40&md5=a8a2b360f535bf447f1119e559a8b086","cognitive task; EEG; NIRS; visual perception","Agricultural robots; Brain; Infrared devices; Robotics; Behavioral characteristics; Brain activity; Characteristic modes; Cognitive loads; Cognitive task; Information perception; Information analysis"
"Hramov A., Frolov N., Grubov V., Pitsik E., Maksimenko V.","6603156741;16498801300;54787609400;57192586726;56572360300;","Network Structure of Children's Brain during Schulte Table Task","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103250648&doi=10.1109%2fNIR50484.2020.9290228&partnerID=40&md5=d3f794639139a1e6e5baf46f67ffe48d","brain; children; cognitive load; functional connectivity","Agricultural robots; Infrared devices; Robotics; Brain cortex; Brain regions; Cognitive activities; Cognitive task; Connectivity analysis; Cortical network; Functional connectivity; Network structures; Brain"
"Sabirova A., Fedorenko R.","57209074888;55692229600;","Drone Cinematography System Design and New Guideline Model for Scene Objects Interaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103247619&doi=10.1109%2fNIR50484.2020.9290236&partnerID=40&md5=353785d2aa2c73f49efbca91a5672928","Cinematography; control system; dynamics; guideline system; minimization problem; percentage estimation problem; quadrotor; trajectories using splines","Agricultural robots; Antennas; Cameras; Infrared devices; Robotics; Complex programs; Dynamic scenarios; Guideline models; Key-frames; Quad rotors; Real-world scenario; Scene object; Small unmanned aerial vehicles; Drones"
"Balakhnov O., Nedelchev S., Gaponov I.","57211524628;57200310148;24922859900;","Preliminary Study on Slack-Free Model Predictive Control of Twisted String-Based Antagonistic Joints","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103245108&doi=10.1109%2fNIR50484.2020.9290167&partnerID=40&md5=152142c732c69b437e0da460af6870b1",,"Actuators; Agricultural robots; Controllers; Degrees of freedom (mechanics); Infrared devices; Predictive control systems; Robotics; Antagonistic control; Control effort; Free model; Model predictive controllers; Multiple degree-of-freedom systems; Trajectory tracking errors; Model predictive control"
"Vorochaeva L., Savin S., Hamed H.","56512432800;55978984900;57219973360;","Lateral gait analysis of a crawling robot by means of controlling the lengths of links and friction in the supports","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103236504&doi=10.1109%2fNIR50484.2020.9290216&partnerID=40&md5=3204f8df6dba5ea6602ca4c90182f36d","friction coefficient control; gait; link length control; multi-link crawling robot","Agricultural robots; Friction; Infrared devices; Robotics; Robots; Crawling robots; First designs; Friction coefficients; Lift offs; Multi-link; Rough surfaces; Sequential algorithm; Step-overs; Machine design"
"Shapovalov I., Gafurov S.","57214700265;56088205500;","Trajectory control of vehicles with a discrete linearized model","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103235686&doi=10.1109%2fNIR50484.2020.9290191&partnerID=40&md5=44415fcc75c2f3a0fa6527ffca27d080","A-star; dynamics; identification; Markov parameters; model-predictive path-integral; path planning","Agricultural robots; Infrared devices; Robotics; Urban planning; Complex environments; Control process; Discrete transfer functions; Driving safety; Hybrid approach; Linearized models; Planning and control; Trajectory control; Vehicles"
"Mikhel S., Klimchik A.","57203955171;37016245900;","Algebraic approach to the stiffness model reduction for manipulators with double encoders","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103235468&doi=10.1109%2fNIR50484.2020.9290194&partnerID=40&md5=f1508ab0dc072e68951aedbd4332f026","double encoders; Jacobian evaluation; robot stiffness","Agricultural robots; Algebra; Infrared devices; Manipulators; Robotics; Stiffness; Algebraic approaches; Applied forces; Stiffness model; Stiffness parameters; Signal encoding"
"Boby R.A.","36069116200;","Hand-eye calibration using a single image and robotic picking up using images lacking in contrast","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102127669&doi=10.1109%2fNIR50484.2020.9290197&partnerID=40&md5=52728576fc54a8d187774498c6358d26","Automation; Cameras; Digital images; Industrial robots; Robot arms; Robot calibration; Robot vision; Robotic manipulators; Robotics; Vision","Agricultural robots; Calibration; Cameras; End effectors; Industrial robots; Infrared devices; Pickups; Robotics; Calibration information; Edge information; Hand-eye calibration; Monocular cameras; Multiple methods; Object information; Single images; Thresholding; Information use"
"Sellami S., Mamedov S., Khusainov R.","57216731873;57205663201;56895904700;","A ROS-based swing up control and stabilization of the Pendubot using virtual holonomic constraints","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101823212&doi=10.1109%2fNIR50484.2020.9290190&partnerID=40&md5=74530dfbdddba314e080909f3b06864e","LQR control; Pendubot; Swing up; transverse linearization; Virtual holonomic constraints","Agricultural robots; Infrared devices; Robotics; Robots; Closed loops; Equilibrium positions; Linear quadratic regulator; Periodic motion; Robot operating systems (ROS); Swing-up control; Unstable equilibrium points; Virtual holonomic constraints; Stabilization"
"Romanov V., Ivanov V., Succi G.","57206352983;57195101229;7004757466;","Approaches for Representing Software as Graphs for Machine Learning Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102169910&doi=10.1109%2fICS51289.2020.00109&partnerID=40&md5=b6cc150194c8f46de505171e4f00d6ec","graphs; machine learning; software; source code; source code representation; statistical learning","Application programs; Computer programming languages; Data flow analysis; Graphic methods; Machine learning; Natural language processing systems; Control flow graphs; Dependency structures; Function-call graphs; Graph-based representations; Machine learning applications; NAtural language processing; Nlp techniques; Source code analysis; Data flow graphs"
"Klementev E., Fedorovskaya A., Hakimov F., Aslam H., Brow J.A.","57221645533;57221642707;57221643436;57193924846;55724408300;","Monte Carlo Tree Search player for Mai- Star and Balance Evaluation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099709321&doi=10.1109%2fSSCI47803.2020.9308322&partnerID=40&md5=2ada619f30df586512183fdb24637ba1","analog games balance; artificial intelligence players; board game balance; Mai-star","Intelligent computing; Monte Carlo methods; Stars; Trees (mathematics); Card games; Information set; Monte-Carlo tree searches; Single observer; Statistical evaluation; Computer games"
"Makhmutov M., Varouqa S., Brow J.A.","57194571105;57219414595;55724408300;","Survey on Copyright Laws about Music Generated by Artificial Intelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099689188&doi=10.1109%2fSSCI47803.2020.9308449&partnerID=40&md5=ca8adf9653ab46fcbfb49fa9dcae76ba",,"Arts computing; Intelligent computing; Surveys; Computer generated music; Copyright law; Fine arts; Copyrights"
"Ciancarini P., Kruglov A., Sadovykh A., Succi G., Zuev E.","7004218817;57216030902;24479058100;7004757466;41763132200;","Elaborating validation scenarios based on the context analysis and combinatorial method: Example of the power-efficiency framework innomterics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097385337&doi=10.3390%2felectronics9122111&partnerID=40&md5=1c8f490faa18064e574836fa8b353ea4","Classification tree; Combinatorial testing; Computer system taxonomy; Design pattern; Development framework; Energy consumption; Programming language",
"Suhail S., Hussain R., Khan A., Hong C.S.","55934138000;35324500900;55209201300;56623778200;","Orchestrating product provenance story: When IOTA ecosystem meets electronics supply chain space","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096361815&doi=10.1016%2fj.compind.2020.103334&partnerID=40&md5=6d85c26b454d68444b4a55f24cbc45ab","Blockchain; Distributed Ledger Technology; Industrial Internet of Things; Industry 4.0; Internet of Things; IOTA; Masked Authenticated Messaging; Provenance; Supply chain; Trustworthy data","Aggregates; Blockchain; Commerce; Data structures; Decision making; Directed graphs; Energy utilization; Internet of things; Privacy by design; Supply chains; Data accessibility; Directed acyclic graph (DAG); Distributed information; Electronics supply chain; Internet of thing (IOT); Product traceability; Product-life-cycle; Resourceconstrained devices; Life cycle"
"Mamedov S., Mikhel S.","57205663201;57203955171;","Practical Aspects of Model-Based Collision Detection","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097421170&doi=10.3389%2ffrobt.2020.571574&partnerID=40&md5=56c910b9ca1021b793b6673c54874ee5","collision detection; disturbance observer; dynamic identification; human-robot interaction; observer design; physical human-robot interaction",
"Romanov V.","57206352983;","Evaluating importance of edge types when using graph neural network for predicting return types of Python functions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097709365&doi=10.1145%2f3426430.3428135&partnerID=40&md5=aaec256bd65fc3a29df25994889df992","Code Network; GNNs; Graph; Python; RGCN; Source Code; Type Annotations","Application programs; Dynamic programming; Forecasting; Function evaluation; Neural networks; Problem oriented languages; Docstrings; Graph neural networks; Source codes; Type annotations; Usage patterns; Computer systems programming"
"Ciancarini P., Masyagin S., Succi G.","7004218817;57205682636;7004757466;","Software design as story telling: Reflecting on the work of Italo Calvino","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097715141&doi=10.1145%2f3426428.3426925&partnerID=40&md5=999e87da168ab83f34157c02f50642ab","Common Practices; Natural language analysis of source code artifacts; Quality Attributes; Software design; Software Professionals; System metaphors","Current principle; Software developer; Software writers; Story telling; Software design"
"Kholmatova Z.","57219433553;","Impact of programming languages on energy consumption for mobile devices","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097191939&doi=10.1145%2f3368089.3418777&partnerID=40&md5=4727a00793559810140f275f699e437d","Energy efficiency; Green software; Power management; Programming languages","Energy utilization; Software engineering; Analytical reviews; Consumption of energy; Null hypothesis; C++ (programming language)"
"Amirova R.","57212009159;","Attention tracking for developers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097134510&doi=10.1145%2f3368089.3418778&partnerID=40&md5=77c72cb84d4373d709f8dd4aff41ce6c","Attention; EEG; Monitoring","Electroencephalography; Quality control; Brain fatigue; Eeg(electroencephalogram); Functional state; IT project; Mental loads; Software engineering"
"Strugar D.","57208466926;","Recommender systems: Metric suggestion mechanisms applied to adaptable software dashboards","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097131824&doi=10.1145%2f3368089.3418779&partnerID=40&md5=80c0ab2c64e315d44067fe7178cbde73","Collaborative filtering; Dashboards; Metrics; Recommender systems","Decision making; Adaptable software; Business Performance Management; Business requirement; Human-centric; Internal controls; Multiple user; Software systems; Software engineering"
"Yermolaieva S.","57212244943;","Communication Challenges in Agile Teams from the Communication Theory Prospective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099370139&doi=10.1145%2f3393822.3432327&partnerID=40&md5=0e54f0ffbd663714135465f5d22aad01","agile communication; communication in agile processes; Communication related problems; communication theory","Information theory; Software engineering; Surveys; Agile Methodologies; Behavioral patterns; Constant components; Effective communication; Information exchanges; Literature reviews; Software project; Team members; Human resource management"
"Kialbekov A.","57221535111;","Empirical Study on Commonly Used Combinations of Estimation Techniques in Software Development Planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099349152&doi=10.1145%2f3393822.3432328&partnerID=40&md5=aa33ee006f831ef1c0c799a7291e908c","Effort Estimation; Software Development; Software Estimation","Budget control; Life cycle; Surveys; Effort Estimation; Empirical studies; Estimation process; Estimation techniques; Industrial experience; Main group; Software development process; Software development teams; Software design"
"Umair A., Sarfraz M.S., Ahmad M., Habib U., Ullah M.H., Mazzara M.","57215223604;57210366486;55232255600;57215209104;57211146599;8557895400;","Spatiotemporal analysis of web news archives for crime prediction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096516151&doi=10.3390%2fapp10228220&partnerID=40&md5=9c4246b8519103daff94f34956b728cb","Crime prediction; Spatial analysis; Sustainable e-governance; Sustainable information management",
"Savin S., Balakhnov O., Klimchik A.","55978984900;57211524628;37016245900;","Energy-based local forward and inverse kinematics methods for tensegrity robots","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096363879&doi=10.1109%2fIRC.2020.00051&partnerID=40&md5=0d9a1da74d939fc11144a96ea706d240","Energy based methods; Forward kinematics; Inverse kinematics; Local linearization; Tensegrity","Agricultural robots; Gradient methods; Inverse kinematics; Nonlinear programming; Numerical methods; Robotics; Robots; Cartesian Space; Elastic element; Forward and inverse kinematics; Forward kinematics; Gradient descent; Local linearization; Non-linear optimization; Standard optimization; Inverse problems"
"Hughes J.A., Houghten S., Brown J.A.","55822685600;6506378984;55724408300;","Models of Parkinson's Disease Patient Gait","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095862482&doi=10.1109%2fJBHI.2019.2961808&partnerID=40&md5=ad2339361f80ae5d15ad03086fe1d062","Artificial neural networks (ANN); Extreme Gradient Boosting (XGBoost); gait; genetic programming; linear regression; Parkinson's disease; symbolic regression; time series","Genetic algorithms; Genetic programming; Neural networks; Neurodegenerative diseases; Ann models; Artificial neural network models; Gradient boosting; Objective methods; Parkinson's disease; Symbolic regression; Walking gait; Diagnosis; Article; artificial neural network; decision tree; electroencephalography; electromyography; gait; human; learning algorithm; linear regression analysis; machine learning; mathematical model; Parkinson disease; speech intelligibility; support vector machine; time series analysis; Unified Parkinson Disease Rating Scale; walking; gait; genetics; neurologic gait disorder; Parkinson disease; Gait; Gait Disorders, Neurologic; Humans; Neural Networks, Computer; Parkinson Disease; Walking"
"Ayaz H., Ahmad M., Mazzara M., Sohaib A.","57218760714;55232255600;8557895400;57218763640;","Hyperspectral imaging for minced meat classification using nonlinear deep features","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095719171&doi=10.3390%2fapp10217783&partnerID=40&md5=7ed077cff21361e53344252a00a1fb48","Classification; Deep learning; Isos-bestic wavelength reduction; Minced meat; Myoglobin spectral features",
"Nour B., Khelifi H., Moungla H., Hussain R., Guizani N.","57195226408;57188689712;13408921700;35324500900;55964114600;","A Distributed Cache Placement Scheme for Large-Scale Information-Centric Networking","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088807165&doi=10.1109%2fMNET.011.2000081&partnerID=40&md5=e673a4c8def93a9d4ed3e994feac5f72",,"Efficiency; Network architecture; Network layers; Cache replacement policy; Content popularities; Extensive simulations; Information-centric networkings; Information-centric networkings (ICN); Internet architecture; Internet of Things (IOT); Resource Constraint; Internet of things"
